url,title,doc
https://www.ettoday.net/feature/%E5%BC%B5%E6%B7%91%E6%99%B6/1326?tt=%E5%BC%B5%E6%B7%91%E6%99%B6%E6%96%B0%E8%81%9E%E6%87%B6%E4%BA%BA%E5%8C%85,,
https://www.ettoday.net/news/tag/%E5%BB%96%E6%B3%B0%E5%AE%87/,,
https://www.ettoday.net/news/20190531/1456842.htm,涉掏空「東亞照明」7億　中電董座周麗真判刑12年,"記者楊佩琪／台北報導,以「東亞照明」稱霸台灣照明市場的中國電器(1611)，董事長周麗真、前總經理張志偉等人卻涉嫌利用海外6家子公司，掏空中電高達7億元資產，遭檢方以違反《證券交易法》特別背信等罪提起公訴。台北地方法院判決，周麗真被依《證交法》侵占罪判刑12年，得易科罰金3億，張志偉以同罪被判9年6個月有期徒刑，得易科罰金1億元。,2015年4月，中電前任董事長顏甘霖指控周麗真涉嫌掏空30億元資產，周麗真則駁斥，海外投資及虧損均非在她任內發生。雙方你來我往，結果卻引來檢調單位注意。,2015年6月，檢調發動第1次搜索傳喚，包括周麗真等11人都到案說明，訊後請回。2016年10月，檢調再度發動搜索行動，這次蒐證齊備，發現周麗真及張志偉2人於2011年11月間，以投資等名義，錢轉入2人透過人頭設立的CLS公司，但在中電的年度財報上隻字未提，中電也未有交易傳票，疑似假交易真掏空，金額高達445萬美元。,同年，由中電100%持股的GLI公司，以現金增資名義發行新股，籌資750萬美元，卻是由CLS公司認購，造成中電持有GLI公司股權遭稀釋剩40%，使得GLS公司不必與中電合併財報，讓張志偉得以GLI公司的資金，高價購買自己名下其他公司股票。,虛偽交易部分，檢調追查周麗真等人還有6起犯行，3年多來共掏空中電達7億新台幣。周麗真、張志偉及CLS公司負責人陳逢璿遭收押，2016年12月，檢方依周麗真等12人違反《證交法》特別背信等罪提起公訴。"
https://www.ettoday.net/news/20200427/1700866.htm,吸金判刑8年沒在怕！理財專家誆投資「乙太幣」狂削3億　重判10年8月,"記者孫于珊／台北報導,被稱為「理財專家」的廖泰宇，2018年因馬勝金融集團吸金案一審被判刑8年，但他完全沒在怕，竟在法院審理期間，涉另組吸金集團，以投資虛擬貨幣「以太幣」等噱頭，狂削超過3億元，被依違反《銀行法》等罪起訴並遭羈押禁見。台北地院27日審結，判廖男10年8月徒刑。可上訴。,檢調2015年間查獲馬勝吸金集團，於是廖泰宇另起爐灶，涉於2017年到2018年間，找來女牧師洪雅蕙等夥伴加入他的吸金團隊，甚至還找了他的高姓乾媽幫忙拓展「業務」，到日本等海外地區舉辦說明會，遊說當地投資人投資。,廖泰宇涉對外以高獲利為餌，推出「凱莉星球」專案，聲稱可把電腦、手機的記憶體剩餘空間，上傳後出租獲利，同時推出「以太世界」，對外宣稱可投資虛擬貨幣「乙太幣」挖礦機，前景可期，2種方案的最低投資單位至少都是100美元起跳；甚至打出分紅獎金制，只要成功招攬到2名投資1萬美元的會員，就可以獲得35萬元的獎金，吸引需多民眾砸錢投資，短短2年的獲利就高達逾3億元，直到陸續有會員沒拿到錢才露餡。,廖泰宇落網後曾坦承吸金，手法是以多層次傳銷招攬會員，且是以「債養債」手法發放紅利，但最近因繳不出錢被會員追債，只好四處跑路，居無定所。法官審酌後，依《銀行法》非法經營銀行業務罪判他有期徒刑10年8月，沒收3億2632萬1531元。,廖泰宇是泰旺企業顧問有限公司的負責人，曾發行《從口吃患者到超級講師》一書，內容敘述從小時候口吃到大學休學，面臨創業投資失敗等挫折，但越挫越勇的他成為一位超級講師，還賺入大筆財富，內容相當勵志，如今卻涉犯吸金案慘遭判刑，顯得格外諷刺。"
https://www.ettoday.net/news/20191007/1551752.htm,花蓮鯉魚潭開發弊案定讞　前內政部審委判刑12年將發監,"記者吳銘峯／台北報導,花蓮縣壽豐鄉鯉魚潭風景區「綠湖國際大飯店開發計畫」官商勾結弊案，當時王姓業者為使計畫順利通過，行賄地方和中央官員，檢方2007年提起公訴。歷經12年審理後，包含多人無罪、撤回上訴定讞，最後僅剩3人繫屬法院，最高法院7日採信更三審見解，將前內政部審查委員李威儀判刑12年、業者判刑1年9月定讞。,本案發生於1999年，當時雙聯建設公司董事長王桂霜，為了讓計畫案能順利完成，涉嫌行賄地方和中央官員和勾結相關銀行人士。包含當時身兼花蓮都計委員的花東縱谷風景區管理前歐姓處長、營建署建管組前謝姓副組長、營建署都市計畫組張姓前課員、前國有財產局花蓮分處江姓前主任、陳姓前專員、王姓前技佐、花蓮縣政府林姓前技士等人，都遭檢方懷疑，收受數萬元到數十萬元不等的賄賂或不正利益。,其中最主要的開發案審查者，是前台灣科技大學建築系教授兼內政部都市計畫委員李威儀，檢方認為他索賄250萬元，並指示自己在學校在職碩士班指導的學生、前東台工程公司董事長藍秀琪，虛構製作「綠湖觀光飯店規劃案」企圖以規劃名義讓賄款合法化。,此外，檢方還查出李威儀教唆內政部都委會兩名承辦人登載不實資料、企圖矇混過關，並再向王桂霜索賄50萬元。案經檢方調查後，對李威儀、藍秀琪、王桂霜3人聲請羈押禁見獲准，全案並於2007年提起公訴，檢方一口氣起訴14名官商、業者。,案件纏訟12年，李威儀等人一度獲判無罪，但也曾被重判13年，全案到了2016年的更三審，僅餘李威儀等3人仍繫屬於法院。花蓮高分院更三審認定李威儀收賄40萬元，判刑12年、褫奪公權6年，藍秀琪收賄210萬元，判刑9年、褫奪公權6年，王桂霜則被以行賄罪，判刑1年9月、褫奪公權1年。全案上訴最高法院，最高法院7日駁回上訴定讞。"
https://www.ettoday.net/news/20190802/1504448.htm,國安私菸風暴／當庭查扣「關鍵手機」　檢調續追決策高層,"檢調昨共約談之前已獲交保的華航空品部組長黃川禎及證人于堯，並首度傳喚華航空品資深副總經理羅雅美、副總經理邱彰信，昨天4人已均是《貪汙治罪條例》圖利罪被告，檢方並再傳喚另4名證人，今凌晨1時30分，羅雅美無保請回；邱彰信則在凌晨2時許，被以70萬元交保。,檢調近日已先後到國安局訊問參與免稅菸團購的國安局人員，並到華航調取相關資料，以釐清國安局團購買免稅菸的流程，菸品暫放華膳倉庫及機邊交易等細節，被認定是此案承辦人的華航空品處小組長黃川禎，日前已被檢方以《貪汙治罪條例》圖利罪嫌20萬元交保，但檢方認為，不可能由黃川禎一人獨力完成，因此昨天約談他的上司，羅雅美、副總經理邱彰信及協商于堯等3被告。,華航相關人員到案後，都辯稱「從以前就這樣做」，已有十幾年歷史，陳水扁及馬英九前總統任內也是如此，但此案買菸上萬條是歷來之最，檢調認定，絕非華航基層及中階主管可擅作主張，檢調為釐清全案，將採由下而上，層層追查，檢方發現于堯是居中聯繫的重要人物，昨天將她由證人改列為被告，並立即查扣她的手機，再依《貪汙治罪條例》予50萬元交保。,更多鏡週刊報導,
,
,
"
https://www.ettoday.net/news/20190802/1503959.htm,併東京著衣涉內線　前久大董座300萬交保…周品均喊「公司還我」,"記者劉昌松、趙永博／台北報導,上櫃公司創新新零售(3085，原名久大資訊)2016年併購「東京著衣」，股價因此飆漲20多元，如今確傳出，當年有人趁消息公開前買股牟利，台北地檢署1日指揮調查局台北市調處，搜索約談前久大董事長鄭博文等14人，檢察官2日凌晨複訊後，依內線交易等罪，諭令久大的前董座鄭博文及2名前總經理徐金龍、李大彰，以100至300萬元不等的金額交保後傳。,久大資訊1995年成立，2004年成為台灣第一家上市櫃的網路類股，2016年10月發佈併購知名網購平台「東京著衣」的重大訊息，之後陸續併購「101原創T恤」及「拍手童裝」，久大的股價從2016年公告併購前的9月底，每股12元，飆到隔年改名創新新零售後的逾37元。,但檢調獲報，有人因在重訊公布嫌事先得知併購消息，進場買入久大股票，趁漲勢大賺一筆，在完成相關蒐證後，在1日兵分12路搜索，並約談久大前董座鄭博文等14名被告與證人，全案朝違反《證券交易法》方向偵辦。,在檢察官連夜訊問後，將久大資訊前任董座鄭博文以證交法中的內線交易罪，諭令300萬元交保；前總經理徐金龍，則以200萬元交保；另外時任總經理的李大彰，則以100萬元交保。,而東京著衣創辦人周品均，因2013年和事業夥伴、丈夫鄭景太傳出婚變後，以退出東京著衣經營團隊，在得知併購案扯出內線交易醜聞後，1日也引用《ETtoday新聞雲》快訊報導，並在,點名當年發生股權爭議的前夫，「難怪當時明知東京著衣63%股權應該屬於我，卻還是連夜跟違約不移轉股權給我證董事長買下爭議股份，為的是什麼？真相大白。」「正正當當一個品牌被拿去炒股」，「沒有要好好經營可以還給我嗎」。"
https://www.ettoday.net/news/20150106/447716.htm,陳致中黃睿靚均無業　顧扁3老恐陳幸妤負擔,"東森新聞記者陳佳鈴、吳竣翔／台中報導,前總統陳水扁5日獲保外就醫回家了，但接下來除了還有正在審理中的官司要面對，扁家也遇到最現實的問題──錢。因為阿扁在監獄時，光是要照顧他，就有7個管理員日夜輪班，7人薪水大約35萬元，但扁一回家後，這些居家照護看護問題，都要自己花錢，初估每月僱2個看護等開銷15萬元，還不包括醫療費用。只是扁家陳致中、黃睿靚都沒有工作收入，恐怕未來重擔將落在陳幸妤的肩頭上。,終於踏出監獄回家了，重獲自由儘管短暫，仍舊珍貴，但自由的同時，接下來扁家要面對的，是很現實的問題就是錢。陳水扁兒子陳致中表示，「當然出了監獄之後，這部分都是我們家屬要來處理的，很多朋友也都關心這件事情，我想必須要來克服難關。」,接下來治療漫漫長路，要花的錢自然不少，以培德醫院來說，阿扁在這裡有7個管理員，輪流日夜輪班戒護，一個人平均薪水5萬元，光是戒護的人力，一個月就要花上35萬元。但一回到家裡，這些看護都得自己請，一個看護月薪7萬5000元，2個輪班至少花上15萬元，這還不包括醫療費用。,只是吳淑珍不能工作，陳致中和妻子黃睿靚無業，都沒有收入，錢的問題怎麼辦？擔任牙醫月入30萬元的陳幸妤會一間扛起嗎？許久未在鏡頭前露臉的她，依舊不回應。,除了錢的問題，接下來的官司也夠扁家頭痛，阿扁所涉及包括龍潭購地、陳敏薰買官、二次金改案等，4個案子已經定讞，但接著而來的，還有國務機要費案、南港展館弊案、二次國泰併世華案、教唆偽證案、台新金併彰銀案、買官洗錢案等等，而且檢方追討他不法所得的動作並未停歇，陳水扁與妻子吳淑珍被判刑定讞的罰金，以及執行金已高達10多億元，除了執行扁珍罰金1813萬多元，賣掉扁家一戶豪宅外，還有9.9億元，檢方還要持續追討執行。"
https://www.ettoday.net/news/20160518/700002.htm,《廉政》演警3度涉毒　陳淳伍爆料公社道歉：不求原諒,"社會中心／台北報導,23歲臨時男演員陳淳伍曾在電視劇《廉政英雄》飾演緝毒警察，2015年遭警方查出持有毒品，檢方還在偵辦，日前他3度持毒遭移送交保，星途夢碎！18日他親自至臉書「爆料公社」PO文，,警方去年9月循線持搜索票，在中山北路一處公寓發現各式毒品，宛如是小型製毒工廠，他因持有安非他命、K他命吸食器咖啡包被逮，北檢還在偵辦中，沒想到今年5月16日下午又在萬華區逮到他涉嫌販毒，3度涉毒被逮，這次他承認持有毒品，強調是丟棄不是吸食，訊後檢察官令1萬元交保，他卻連保釋金都繳不出來。,事實上，陳淳伍長相清秀，曾在《廉政英雄》飾演緝毒警察，戲裡緝毒戲外吸毒差很大，也拍過MV，臉書上都是自拍照及拍戲照片，對戲劇熱愛不言而喻，卻因吸毒夢碎。他為此特地上爆料公社向大眾道歉：「我成了社會最不良的榜樣與行為，不敢乞求大家的原諒，只想好好道歉，讓大家失望了！」未來將反省、懺悔過錯，調整自己重新開始。,陳淳伍也在個人臉書PO文指，大家可以批評、不相信，但自己堅定真心悔改的心不會動搖，會用行動證明，希望有一天大家看到了也可以給予支持。"
https://www.ettoday.net/news/20180513/1168755.htm,782公斤毒品認成419公克輕判2毒販？　法官說其實是「誤載」,"社會中心／高雄報導,有媒體今日報導高雄地院法官審理楊政錦、張慶龍重大漁船走私毒品案時，誤認毒品重量782公斤為419公克，因而輕判2毒犯，引起熱議。對此，高雄地院稍早發布新聞稿澄清，,檢警去年3月在澎湖縣目斗嶼西北方約4浬處攔截一艘漁船，發現甲板處有大量可疑黃色飼料袋，經登船以毒品試劑對飼料帶內容物進行初步檢測，呈現毒品陽姓反應，隨即逮捕張姓船長、楊姓船員與印尼籍漁工3人，連人帶船押返興達港海巡基地。經清艙檢查後，共起出45包飼料袋，總重1109公斤，經漏夜檢測後，確認該等飼料袋內容物均係第三級毒品K他命之先驅原料，即第四級毒品鹽酸羥亞胺，約可轉換成近900公斤K他命。,據判決書提到，真實姓名年籍不詳的「許利發」成年男子有一批鹽酸羥亞胺欲自大陸地區運輸、私運至台灣，就與楊政錦謀議，由他負責尋找願意出海運輸船隻，航行至指定接駁處等待大陸船運輸毒品前來，並於接駁毒品後，再至指定轉貨地點完成接貨與轉貨工作，事成即可獲得100萬元酬勞；而楊與張慶龍商談後，由張駕駛漁船至指定地點，等待毒品接貨及轉貨事宜，即可拿到70萬元報酬。,楊政錦、張慶龍事後被依違反毒品危害防制條例案件，經檢察官提起公訴。高雄地院依共同運輸第四級毒品犯，處楊有期徒刑4年、張則是處有期徒刑5年10月。,針對此一毒品案件，高雄地院表示，判決中已提及「共計查獲45包毒品，每包約23至25公斤，每包需兩人才能同時扛起，大陸鐵殼船丟包過程歷時約1小時之久」等文字，且卷內亦有以黃色飼料袋包裝毒品等照片附卷，因此該份判決雖誤依抽驗鑑定報告計算（因毒品數量龐大，鑑定方式係每包中抽取部分進行抽驗鑑定），但審判庭實際評議被告2人刑度時，,關於量處楊政錦、張慶龍刑度部分，高雄地院指出，由於楊政錦在偵查及審理中均有自白，依照毒品危害防制條例第17條第2項規定，減輕其刑（即最低可從前述5年的一半即2年6月開始量刑），從而，合議庭法官針對他的犯行部分，除有前述自白依法需減刑之適用外，另考量被告他相較於張慶龍，為犯罪較為主要的地位，由其負責聯繫「許利發」、大陸鐵殼船、台灣黑金剛等接貨及轉貨的工作，至於報酬部分則可分得30萬元，實際上已取得15萬元之報酬，另外犯後始終坦承犯行，態度良好，故量處有期徒刑4年，並非誤認輕判。,而張慶龍部分，高雄地院則說，法官考量他是該漁船船長，負責出船及依照楊政錦指示等待接獲及轉貨，為犯罪較次要地位，至於報酬部分則可分得70萬元，實際上已取得5萬元，但由於犯後否認犯行，沒有自白減刑，且犯後態度不佳，並考量本案運輸第四級毒品數量固然非常龐大，但主導整個由大陸運輸毒品至台灣犯罪計畫中，應以「許利發」為主嫌，楊政錦和張慶龍擔任的是其中接貨和轉貨的一環，該2人在海上尚未運抵台灣前即遭查獲逮捕，並未造成毒品對外散佈，而量處張有期徒刑5年10月。,，此案相關新聞報導似有誤認，至感遺憾。"
