url,title,doc
https://news.ltn.com.tw/news/society/breakingnews/2680529,馬勝前講師再捲吸金案 檢調鎖定廖泰宇下線發動第2波搜索,"今年8月才被新北地院依違反銀行法判刑8年的馬勝前講師廖泰宇，涉嫌在馬勝案爆發後，自立門戶成立以太幣（右2）投資團隊，以老鼠會形式招攬投資吸金逾2億元。（路透檔案照）,〔記者錢利忠／台北報導〕捲入馬勝金融集團（MaximTrader）吸金案，去年8月才被新北地院依違反銀行法判刑8年的馬勝前講師廖泰宇（42歲），涉嫌在馬勝案爆發後，自立門戶成立以太幣投資團隊，以老鼠會形式招攬投資吸金逾2億元，檢調去年底發動首波搜索並約談廖泰宇等11嫌到案後，今另鎖定廖的下線發動第2波搜索及約談行動。,偵辦此案的台北地檢署及調查局北部地區機動工作站，今天均強調「偵查不公開」，不透露任何偵辦進度及細節。,請繼續往下閱讀...,去年12月26日，北檢指揮北機站兵分15路搜索並約談廖泰宇等11嫌到案，另傳喚10名證人，漏夜偵訊後依違反銀行法將廖泰宇等2嫌聲押禁見；王姓等6名廖泰宇的下線，分別以10萬至26萬元不等金額交保；另有2嫌被限制住居。,曾擔任馬勝金融集團講師的廖泰宇，多次以泰旺企管顧問公司董事長身分接受媒體訪問，口才極佳的他，自稱原為口吃患者，靠著閱讀超過5千本書、花14年投資逾300萬元，向號稱激發潛能的大師安東尼羅賓等人學習，才成為國際級的講師，自己也從19歲月入不到2萬元，進級到31歲後月入近200萬元。,檢調獲報，以廖泰宇為首的吸金集團，從2016年開始迄今，共推出2種全球性的投資方案，分別為「凱莉星球」、「以太世界」；前者以出租電腦或手機中空餘的儲存空間為賣點；後者則是推廣投資以太幣挖礦機；2種方案的投資單位從100美元至1萬美元不等，獲利槓桿聲稱可達3至5倍。,廖泰宇為了促使下線努力招攬會員，還設立分紅獎金，只要招攬到2名願意投資1萬美元單位的會員，就可以獲得新台幣35萬元獎金，招攬下線投資的金額愈多，獎金就愈豐厚，但之後陸續有會員拿不到錢憤而提告；首波被約談的11名嫌犯中，除了主嫌廖泰宇之外，其餘10人均為廖泰宇旗下的下線。,依銀行法規定，非銀行不得收受存款，且犯罪所得逾1億元，可處7年以上徒刑，得併科5億元以下罰金；因廖泰宇及其下線對外以「快速回本」、「保證獲利」為口號招攬投資，涉違法經營收受存款業務而遭搜索及約談。,
    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    ,　
    ,
"
https://news.ltn.com.tw/news/society/breakingnews/2675763,跨國詐團騙走螺絲廠1200萬貨款 台灣3車手被判刑,"法官依共同詐欺罪判處在台3名車手王羿雄2年2月、黃彥儒1年6月、黃哲修1年2月徒刑。（記者楊政郡攝）,［記者楊政郡／台中報導］位於高雄帝潮公司（螺絲生產商），其下游廠商加拿大Muro公司，2015年3月份貨款39萬餘美金（新台幣1200餘萬元），被國際詐團詐騙，匯入「假帳戶」，在台3名車手王羿雄、黃彥儒及黃哲修協助盜領，被依詐欺罪判1年2月至2年2月，而同年4月份貨款31萬美金，也已匯入「假帳戶」，所幸兩公司及時發現而凍結，阻擋損失擴大。,判決書指出，跨國詐騙集團成員陳震歐（紐西蘭籍，英文名：Phoenix、菲尼斯）、「黑人老闆」的非裔成年男子，以不詳方法取得設址高雄帝潮公司及設址加拿大Muro公司，得知它們是上下游貿易關係，Muro公司長期向帝潮公司訂購螺絲，且取得兩公司資料，然後申請註冊與帝潮公司使用之電子郵件帳號極類似「service.ticho@gmail.com」電子郵件帳號（下稱假帳號）。,請繼續往下閱讀...,在2015年3月詐團假冒帝潮公司名義，以「假帳號」寄發電子郵件給Muro公司，向Muro公司表示將不再使用帝潮公司所有之「wineco@ms61.hinet.net 」、「service@ticho.com.tw 」電子郵件帳號，改用「假帳號」。,陳震歐、「黑人老闆」尋求台灣車手，陳找到王羿雄，王又找堂妹婿黃彥儒，黃彥儒找同學黃哲修，由黃哲修於同年1月申設「進鑫興貿易行」及中國信託帳戶，詐欺集團即提供該帳戶給Muro公司，作為請領2015年3月貨款之用，Muro公司如期將貨款美金39萬4978元匯入進鑫興外幣帳戶內。,再由王羿雄前往提款，匯兌為現金新台幣1210萬3000元得手，黃彥儒事後分到35萬，黃哲修獲得1萬元，王羿雄154萬餘元，其餘均匯到國外給陳及「黑人老闆」。,而Muro公司4月份貨款31萬美金，又依詐團指示，匯入台灣陶姓男子帳戶（同案判3月徒刑），所幸此時兩公司正為貨款哪裡去了展開追查，也及時凍結帳戶內款項，減少損失。,法官依共同詐欺罪判處王2年2月，判黃彥儒1年6月，判黃哲修1年2月徒刑。,
    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    ,　
    ,
"
https://news.ltn.com.tw/news/local/paper/1276761,涉詐欺上億 竹市攤販協會理事長被訴,"〔記者蔡彰盛／新竹報導〕新竹市中正市場得標廠商力揚展業負責人、竹市攤販協會理事長林良琪，因中正市場經營不順欠下鉅款，遂對外聲稱可取得竹蓮市場攤位，開始大肆吸金，新竹地檢署查出林良琪詐得上億元，全案依詐欺罪嫌提起公訴。,地方上喧騰一時的竹市兩大市場中正市場、竹蓮市場多名攤商遭詐騙案，經檢警調查，發現林良琪二○一七年六月前負責實際營運竹蓮市場攤販管理，戴吟曲則為力揚公司行政經理兼出納，負責收受款項。,請繼續往下閱讀...,林良琪於二○一四年間起向竹蓮市場多名攤商謊稱，他將在二○一七年二月間由兒子擔任登記負責人的大舜國際公司，參加竹蓮市場招標，且他也是投標對手富寶達公司副總，有辦法處理竹蓮市場的攤位承租及分配事宜。多名攤商陸續繳款，但綜合評審時，大舜僅獲得第二名，事後市府核定由最優申請人富寶達負責營運竹蓮市場。,林良琪及戴吟曲明知此事，卻仍對外佯稱得標者是林之前的合夥人，林也有股份，眾人買的位置仍在他的股份內，屆時將會如期交付攤位，致被害人持續交付款項給二人，直到二○一七年十月起林良琪避不見面，眾人發覺並無攤位可使用，方知受騙而報警。,二○一七年二月林良琪另向黃男佯稱想要投標竹蓮市場，但申請投標需繳納五百萬元保證金，黃男掏出現金五百萬元給林良琪，林開支票作為擔保卻跳票，黃男方知受騙。以上兩部分案情二人犯罪所得共計二八○五萬元，均依詐欺罪嫌起訴。,力揚展業公司與市府簽訂BOT案，為中正市場得標廠商，然因經營不順，自二○一六年六月初即開始跳票，在外欠下鉅款的林良琪邀郭女投資中正市場，另以八百萬元代價出售竹蓮市場一處攤位使用權給郭女。郭女為此掏出一千五百萬元投資款及七一六萬元攤位使用費。林良琪又以需資金製作標案企畫書及打通關節、疏通新竹市政府官員等語，騙郭女持續出資五千萬元。此部分林良琪共騙郭女七二一六萬元，再被檢方依詐欺罪嫌追加起訴。,
    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    ,　
    ,
"
https://news.ltn.com.tw/news/Taichung/breakingnews/2675763,跨國詐團騙走螺絲廠1200萬貨款 台灣3車手被判刑,"法官依共同詐欺罪判處在台3名車手王羿雄2年2月、黃彥儒1年6月、黃哲修1年2月徒刑。（記者楊政郡攝）,［記者楊政郡／台中報導］位於高雄帝潮公司（螺絲生產商），其下游廠商加拿大Muro公司，2015年3月份貨款39萬餘美金（新台幣1200餘萬元），被國際詐團詐騙，匯入「假帳戶」，在台3名車手王羿雄、黃彥儒及黃哲修協助盜領，被依詐欺罪判1年2月至2年2月，而同年4月份貨款31萬美金，也已匯入「假帳戶」，所幸兩公司及時發現而凍結，阻擋損失擴大。,判決書指出，跨國詐騙集團成員陳震歐（紐西蘭籍，英文名：Phoenix、菲尼斯）、「黑人老闆」的非裔成年男子，以不詳方法取得設址高雄帝潮公司及設址加拿大Muro公司，得知它們是上下游貿易關係，Muro公司長期向帝潮公司訂購螺絲，且取得兩公司資料，然後申請註冊與帝潮公司使用之電子郵件帳號極類似「service.ticho@gmail.com」電子郵件帳號（下稱假帳號）。,在2015年3月詐團假冒帝潮公司名義，以「假帳號」寄發電子郵件給Muro公司，向Muro公司表示將不再使用帝潮公司所有之「wineco@ms61.hinet.net 」、「service@ticho.com.tw 」電子郵件帳號，改用「假帳號」。,陳震歐、「黑人老闆」尋求台灣車手，陳找到王羿雄，王又找堂妹婿黃彥儒，黃彥儒找同學黃哲修，由黃哲修於同年1月申設「進鑫興貿易行」及中國信託帳戶，詐欺集團即提供該帳戶給Muro公司，作為請領2015年3月貨款之用，Muro公司如期將貨款美金39萬4978元匯入進鑫興外幣帳戶內。,再由王羿雄前往提款，匯兌為現金新台幣1210萬3000元得手，黃彥儒事後分到35萬，黃哲修獲得1萬元，王羿雄154萬餘元，其餘均匯到國外給陳及「黑人老闆」。,而Muro公司4月份貨款31萬美金，又依詐團指示，匯入台灣陶姓男子帳戶（同案判3月徒刑），所幸此時兩公司正為貨款哪裡去了展開追查，也及時凍結帳戶內款項，減少損失。,法官依共同詐欺罪判處王2年2月，判黃彥儒1年6月，判黃哲修1年2月徒刑。,
    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    ,　
    ,
"
https://news.ltn.com.tw/news/politics/breakingnews/431529,龍潭購地案定讞　致靚泣訴：司法迫害,"最高法院的判決讓黃睿靚（左）難過地直掉眼淚，也讓陳致中（右）感到氣憤，直指政治介入司法。（記者黃志源攝）,〔即時新聞／綜合報導〕最高法院今（11）日宣判，前總統陳水扁、吳淑珍夫婦，在龍潭購地弊案、前101董事長陳敏薰人事案，共被判19年，其中龍潭購地案判刑定讞，陳水扁兒子陳致中、黃睿靚夫婦得知判決結果，悲憤泣訴國民黨政治力介入影響判決。,陳致中表示，不管是在龍潭購地案或陳敏薰人事案，都牽涉到總統職權，屬於憲法層面的問題，日前法官周占春判決二次金改無罪，顯示總統職權問題有多大的爭議，想不到最高法院竟然火速判決龍潭購地案定讞。,請繼續往下閱讀...,陳致中直言：「這樣的判決在司法史上相當罕見，如果要說後面沒有政治力介入，沒有人會相信。」母親吳淑珍也被判刑，陳致中難過地說，母親的身體已經是風中殘燭，還要把她抓去關，真的讓人無法想像。,黃睿靚泣訴：「你（國民黨）關人關那麼久，難道我們這些民怨就不是社會觀感？社會觀感只有藍營的人說了算？社會民怨那麼深，馬英九有一絲一毫在乎過嗎？」,陳致中指出，趕在年底五都選舉前判決定讞，就是要把違法羈押的行為合理化，用政治力繼續打壓台灣、繼續打壓一邊一國。,陳致中說：「馬英九說周占春的判決背離人民期待，11月27日所有台灣人就用選票，來告訴馬英九，台灣人的憤怒在哪裡！」,
    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    ,　
    ,
"
https://news.ltn.com.tw/news/Hualien/breakingnews/2938886,鯉魚潭風景區開發弊案 內政部前都計委員李威儀確定判刑12年,"鯉魚潭水庫。（資料照）,〔記者張文川／台北報導〕12年前爆發的花蓮縣壽豐鄉鯉魚潭風景區的「綠湖國際大飯店」開發弊案，業者王桂霜為讓計畫案順利進行，以250萬元行賄時任內政部都市計畫委員會委員李威儀與其學生藍秀琪；經法院12年審理，2017年12月花蓮高分院更三審判李威儀12年徒刑、藍秀琪9年，皆褫奪公權6年，王桂霜1年9月、褫奪公權1年；最高法院日前駁回上訴，全案全部定讞。,此開發計畫在花蓮縣都市計畫委員會審查時，曾5度闖關未過，1999年起死回生，業者雙聯投資實業公司董事長王桂霜，申請將鯉魚潭的22公頃公園等用地，變更為旅館用地與停車場，隔年8月花蓮縣政府通過變更計畫案，函送內政部都市計畫委員會審議。,都委會專案小組赴現場勘查後，前3次專案會議都明確表達反對之意，強烈質疑公園綠地面積只占6.4%，未達10%的最低法定下限，更何況是風景特定區，認為不宜輕率將綠地變更為建地。,王桂霜為求解套，透過花蓮縣政府承辦技士居中介紹，與負責審查此案的的時任內政部都委會專案小組召集人、台科大建築系副教授李威儀搭上線，相約在第4次專案會議的前1天，於台北市西華飯店碰面。,李威儀在西華當面向王桂霜提議，可利用他的碩士在職專班學生藍秀琪當「白手套」，由藍秀琪開設的公司來負責規劃開發計畫書，李向王索賄250萬元，分3期付清。李與藍虛構「綠湖觀光飯店規劃案」，試圖以規劃設計費的名義讓賄款合法化，李並教唆都委會2名承辦人登載不實資料，企圖矇混過關。,幾經運作，李威儀趕在他的委員任期屆滿之前，於2001年5月、6月連開最後2次專案小組會議，做成「尊重花蓮縣府意見，建議本案原則同意變更」的審查意見，送內政部審議，並在卸任後列席委員會報告，企圖說服與會人士支持。,調查局東機站事後獲報，報告花蓮地檢署指揮偵辦，2007年起訴李威儀等人。案經法院審理12年，李威儀等人一度獲判無罪，但被撤銷發回，更三審依違背職務收賄罪，判李、藍各12年、9年徒刑，王桂霜以行賄罪判刑1年9月。最高法院認定更三審判決沒有違誤，駁回上訴確定。,
    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    ,　
    ,
"
https://news.ltn.com.tw/news/society/breakingnews/1929371,涉掏空中電逾7億元 董座周麗真等12人被訴,"中國電器公司董事長周麗真（左）被控勾結前總經理張志偉，利用海外子公司掏空中電。（資料照，記者錢利忠攝）,〔記者謝君臨／台北報導〕生產「東亞」燈具的上市公司中國電器（1611），其董座周麗真、前總經理張志偉涉嫌於99年至101年間，利用設立於海外的CSL、GLI、SAWTRY等6家子公司，挪用中電共7億元，涉犯《證券交易法》特別背信等罪；台北地檢署調查後，今起訴周麗真、張志偉，以及海外公司名義負責人陳逢璿等12人。,中電創立於44年，以「東亞照明」品牌稱霸國內傳統照明市場，其生產的燈具於國內約有30%市占率，去年合併營收28.57億元。,請繼續往下閱讀...,去年4月，中電前任董座顏甘霖透過媒體，指控外甥周麗真掏空公司30億元資產，周也不甘示弱出面駁斥，指海外投資與虧損均非在她任內，是顏甘霖擔任董事長時造成，雙方互槓；調查局台北市調處去年6月還因此約談周等11人，訊後請回，經蒐證調查1年多，今年10月28日再發動搜索、約談行動。,檢調調查，周麗真、張志偉被控於100年11月間，以「投資款」等各種名目掏空中電445萬美元，將錢轉匯給周、張透過人頭陳逢璿所設立的CLS公司，但中電卻未製作交易傳票，也未在年度財報上揭露，涉嫌假交易掏空。,同年100年11月，當時中電100%持股的子公司GLI，以現金增資發行新股名義籌資750萬美元，但GLI卻非由中電認購，而是由周、張所掌控的CSL公司認購，造成中電原100%掌控的GLI公司，股權稀釋為40%，致使GLI因中電持股未超過50%，不用與中電合併財報，張志偉再以GLI的資金高價購買自己其他公司的股票。,除了以上2筆犯罪事實，檢調另發現周麗真、張志偉同樣利用虛偽交易方式，涉犯其他6件犯行，3年來總計掏空中電逾7億元；今年10月，檢調發動搜索約談行動，檢方訊後認為周麗真、張志偉、陳逢璿有串證、逃亡之虞，向法院聲押禁見獲准。,
    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    ,　
    ,
"
https://news.ltn.com.tw/news/society/breakingnews/1366574,馬政府清廉形象又破功！茂管處長許正雄涉貪被押,"茂管處長許正雄涉貪被羈押禁見。（資料照，記者葉永騫攝）,〔記者黃佳琳／高雄報導〕轄掌高屏山麓觀光的交通部觀光局茂林國家風景管理處長許正雄等官員，疑似收取數千萬的工程回扣，並接受廠商招待，檢調昨日發動搜索帶回許等多位官員及業者，雄檢偵訊後認為許等人有串供、逃亡之虞，向法院聲請羈押，高雄地院審理後，裁定許正雄羈押禁見，楊姓副處長25萬元交保。,
    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    ,　
    ,
"
https://news.ltn.com.tw/news/society/breakingnews/3139650,張淑晶狀告房客拿到8萬7千 法官判房客免登報道歉,"張淑晶屢跟房客發生糾紛。（資料照）,〔記者顏宏駿／彰化報導〕去年炒得沸沸揚揚的房東張淑晶坑殺房客案，張淑晶一審被判5年6個月徒刑，其中一名阮姓女房客遭張淑晶「追殺」，該名女房客原本跟張淑晶「約定」承租套房，並預付訂金1萬2500元，豈料後來得知遇到大名鼎鼎的「張淑晶」，後悔退租，張淑晶將阮女一狀告到法院，要求付餘款8萬7500元，並在四大報對她登報道歉。,該案經彰化地院審理，法官今判決阮女應付餘款8萬7500元給張淑晶，但不用登報道歉。,請繼續往下閱讀...,張淑晶被控從2013年起，利用套房出租、簽約設局等多種方式坑殺房客，被媒體踢爆後，仍低價承租新北市5間房屋，重修隔間、裝潢後當起二房東，並對外宣稱全新裝潢、水泥隔間，但事實上卻是用劣質材料隔成套房，以月租9500元不等分租給學生、社會新鮮人、單親媽媽等人。,檢方介入偵辦，發現她在出租房屋過程中，除了隱匿租約不利條款、帶看非租屋房等方式，誘騙房客簽約；等發生糾紛後，她立即開口討違約金，不給錢她就提告，其中在新北市的部分新北地院認定共78人受害，去年4月認定她違返詐欺罪，判刑8年2月。,而張淑晶事後也告一名目前設籍於彰化縣的阮姓女房客。判決書指出，阮女於去年7月1日透過租屋網，租下張淑晶一間位於台北市的套房，雙方透過LINE約定每月租金1萬2500元，阮女預付首月訂金1萬2500元，取得房卡，進入所租房間卻發現裡面還有人，阮女不想租，但張淑晶說：「這名房客，今天到期，妳今晚可先睡另一間。」,判決書指出，阮女勉強答應後，出去購物後返回租屋處，卻見有1名男性房客持鐵棒敲擊1樓越南籍房客之房門，阮女感到很害怕，要求退租，張淑晶說「這種事很平常」，她不同意退租，雙方鬧到警察局，在警局阮女才得知張淑晶就是跟多名房客鬧得不可開交的「新聞人物」，阮女覺得自己可能跟其它受害者一樣，因此更堅決不想租。,事後阮女向媒體投訴，指稱自己也受張淑晶坑殺，她認為兩造沒有寫成文字契約，因此這段租賃關係無效。,但張淑晶向法官說，雙方已透過LINE做成約定，因此契約有效，所以從去年7月1日至2月底（訴訟進行日）為止共8個月，阮女需付給她10萬元租金，此外她認定，阮女透過媒體對她的名譽造成傷害，因此必須在自由時報、蘋果日報、聯合報、中國時報登報道歉。,法官表示，租賃契約為諾成契約，僅需雙方意思表示合致即已成立，不以簽訂書面契約為成立要件，兩造既已口頭約定以每月1萬2500元租賃關係，等於雙方合意租約成立，因此阮女扣除已付1萬2500元訂金，還須付8萬7500元。,張淑晶主張其名譽權遭被告侵害，法官表示，被告向記者所陳述的事情，並非全然無據，且媒體在報導時亦有尋求平衡，因此阮女沒有必要於四大報做登報道歉。,
    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    ,　
    ,
"
https://news.ltn.com.tw/news/politics/paper/1335617,埔鹽鄉代主席陳武騰 收賄判刑6月,"〔記者顏宏駿／彰化報導〕今年十月間請假中的高雄市長韓國瑜到彰化縣埔鹽鄉順澤宮參拜，當時鄉代表會主席陳武騰曾送韓一支「穿雲箭」，陳武騰因捲入賄選官司昨被判刑。,陳武騰去年當選鄉代與另一鄉代黃振榮搭檔選正副主席，陳武騰涉嫌收受黃的賄款一一○萬元，允諾出任副手，未料選舉當天「窩裡反」，自己出馬跟黃競選主席，陳順利當選後退還賄款，兩人雙雙被起訴，彰化地院昨審理終結，陳武騰被判有期徒刑六月，褫奪公權兩年，全案仍可上訴。,請繼續往下閱讀...,判決書指出，陳武騰去年當選埔鹽鄉代後即有意問鼎代表會主席，但另一鄉代黃振發早已放出風聲要出馬競選，還拿出一一○萬元向陳武騰行賄，他要求陳武騰以每票三十萬元向施春貴、劉綉梅、吳素真、蔡素真等四名鄉代行賄並支持他，陳武騰收下賄款（差十萬等選後再付）。,主席選舉當日，原本答應當黃副手的陳武騰「窩裡反」，還順利當選，雖然陳武騰事後退回一一○萬元，但黃振榮的友人事後得知，氣得向檢方檢舉陳武騰賄選，陳、黃兩人雙雙被檢方起訴。,陳武騰向法官說，他自己也想當主席，他收下賄款，是要黃放下戒心，不再對其它鄉代下手和運作，「這是選舉策略」，他並不認為是「預備賄選」，但法官認為他在詭辯。,
    不用抽 不用搶 現在用APP看新聞 保證天天中獎　
    ,　
    ,
"
