url,title,doc
https://www.mirrormedia.mg/story/20200511ent003/,【獨家】【直播賣色相】露刺青肥肉熱舞　高盟傑V字吊屌褲激凸叫賣,"影星高盟傑曾入圍過金馬獎、金鐘獎，也曾演出過8點檔，經常演出勵志角色，但他私生活卻極其混亂，被傳出涉毒、染黑，仲介賣淫等犯罪行為。今年4月他才因販毒遭到起訴，已經沒人敢找他演戲，但高盟傑積極求生，穿上黑色V字吊屌褲，大秀神祕三角地帶，玩直播玩得不計形象，就是要賺錢。,高盟傑涉入多起犯罪事件，幾乎都是跟錢有關，據悉，他曾經跟隋棠借了12萬元，借錢無所不用其極，但爆發多起事件後，高盟傑在演藝圈沒了工作，竟靠著大膽裸露直播吸睛，為自己另闢財路。,　,近日高盟傑現身在「盧俊陞直播粉絲團」賣東西，賣的多是食品和鍋碗瓢盆等產品，為了吸引粉絲，高盟傑和搭檔只穿上V字吊屌褲，在鏡頭前大秀熱舞，畫面中可看見高盟傑充滿肉感的身材，秀出大片刺青，神祕三角地帶也若隱若現，轉過身來更是令人驚奇，高盟傑的兩片肥臀就在鏡頭前瘋狂抖動，畫面相當震撼。,雖然只是搞笑直播，但高盟傑也發揮他金獎演員的演技功力，和搭檔上演道士抓妖精的戲碼，他扮演妖精，和道士激情大戰好幾回合，隨即脫下古裝白袍，秀出激凸吊屌褲，和不太誘人的胴體，開始賣力跳舞，甚至連最流行的「黑人抬棺舞」都能來上幾段，盡情展現藝人才華，而高盟傑賣弄色相，狂吸破萬人收看。,38歲的高盟傑5度提名金馬獎及金鐘獎，演技自然備受肯定，但天生的才華都不敵他想賺錢的歪心，本刊去年初曾接獲爆料，指控高盟傑仲介賣淫，但高盟傑澄清，是遭到朋友「唬爛」。,　,此外，高盟傑還有紋身入黑道、暴力討債被逮等等控訴。去年8月，他因涉及販賣一級毒品海洛英，遭到檢方起訴，還一度被關押在台中看守所。,本刊記者私訊「盧俊陞直播粉絲團」詢問直播中人是否就是高盟傑，只獲得簡短回答說「不是喔」，隨即就開始對記者推銷產品。記者又撥打高盟傑的兩支電話，一支被停話，一支則由一名女性接通，一接通該名女子就說「現在是怎樣？」在記者詢問要找高盟傑後，該名女子隨即掛斷電話。,
        更新時間｜,相關關鍵字："
https://www.mirrormedia.mg/story/20190131soc001/,【吸億將軍夫人】將軍夫人扮建商董座　三言兩語吸金億元,"
    全文朗讀
  ,
    00:00,前國防部政治作戰總隊總隊長王光遠將軍的妻子楚瑞芳，和另名男子彭振源，2人自稱是華固建設公司高層，用將出任下任董事長的名義，以華固欲整合台北市和平東路、樂業路口周邊的一塊土地為由募資，吸引二十多人拿錢投資，金額近億元，其中1名林姓房地產商察覺有異，自己訪查發現，2人根本與華固建設沒有關係，華固同時也發出律師函澄清絕無此事，林男才驚覺遭騙。,這名將軍夫人叫楚瑞芳（65歲），她是政治作戰學校政治系24期畢業，其夫王光遠跟她是軍校同班同學，王從國防部政治總隊少將總隊長退伍，王對太極鑽研頗深，經常獲邀表演太極，曾任中華熊氏太極拳總會理事。,將軍夫人又是退伍軍官怎麼會變成騙子？事情發生在2016年5月底，楚女和另名男子彭振源，透過林男的一名交情頗深的老同事王澤生找上他，聲稱她們2人是華固建設公司高層，與華固董座鍾榮昌是多年好友，私交甚篤，楚女甚至強調她因為整合土地成功，未來將是下一任華固建設董座，但因整合土地仍需要金錢上的奧援擺平居民，需要林男「挹注資金」。,林男當時質疑，華固這麼大的公司應該不會缺資金整合土地，怎麼可能找上他這種小地產商，但王澤生一再跟他保證，曾經跟鍾榮昌本人當面確認過該起土地整合案，加上楚女不斷強調他的將軍夫人身分，與王金平、宋楚瑜等黨政高層都很熟悉，林男上網查詢，也確認楚女的將軍夫人身分。,楚女當時還強調，之所以這樣做，是因為鍾榮昌本人在外私設公司，欲以私設公司整合土地，然後回賣給華固建設來套利，因此華固不會有任何金流流出，以防有掏空的嫌疑，所以才會由她出面擔任「影舞者」的角色。,林男聽完後不疑有他，又有老同事保證，從5月底至12月初，陸續交付楚女約1,000萬元。,但林男自5月底挹注資金開始，一直到了12月這段期間，他頻頻覺得有異，不斷起疑，林男後來根據楚女提供的地號將土地謄本列出來，直接到了楚女所宣稱整合的路段查詢，並挨家挨戶的詢問附近商家及住戶，得到的消息都是有很多建商有意思整合，但並沒有確切的說是哪家建設公司，林男說：「若是真的整合成功，也需要10年、20年的時間，根本不是楚女說的只剩一戶還沒給錢之類的情形。」林男驚覺遭騙。,
        更新時間｜,相關關鍵字："
https://www.mirrormedia.mg/story/20200414ent033/,高盟傑販毒年初獲不起訴　續查逆轉恐面對無期徒刑重刑,"曾以《美麗時光》一片入圍第39屆金馬獎最佳男配角獎的本土劇演員高盟傑，去年8月初遭緝毒小組查獲涉嫌販賣一、二級毒品，被羈押在台中看守所長達4個月，因未查扣到毒品證物，今年1月獲不起訴處分，但台中高分檢仍將全案發回台中地檢署續查。但這次高盟傑沒那樣好運，被認定涉嫌違反毒品危害防治條例罪，被提起公訴。 ,起訴書指出，這名代號為「Play」的魏姓毒蟲，於去年7月17日晚間，電聯高盟傑表示欲購買毒品，並談好以4,000元價格購買1.875公克的安毒，隨後雙方在台中沙鹿高盟傑的住處樓下交易，魏男並暗中錄影存證，隔天就去檢舉。高盟傑在接受偵訊時坦承有毒品交易，但沒收到錢。,該案原承辦檢察官認為魏姓毒蟲因另有毒品案在身，為獲減刑因而約出高盟傑交易，並蒐證檢舉，儘管影片有不明粉末及現金交易，但因為缺乏關鍵毒品證物，高盟傑獲不起訴處分。但台中高分檢卻認為毒品交易常沒查扣到交易的毒品，且買賣雙方都坦承確實有毒品交易，故發回台中地檢署續查，經偵結後，高盟傑這次被依違反毒品危害防治條例罪起訴。,現年38歲的高盟傑，儘管演技精湛，還曾5度入圍金馬、金鐘獎，近年卻是負面新聞纏身，不僅爆出欠債醜聞，和他合作過的隋棠、陳冠霖等人都是債主、向身障女粉絲友人借錢未還、又被前經紀人指控「以沒錢吃飯、住院等理由騙大家借錢，且稱他有吸毒習慣，也會玩線上賭博」，但他駁斥是因為合約糾紛才被前經紀人抹黑。本刊還曾接獲爆料指他媒介賣淫又混黑道、涉嫌恐嚇取財被抓，黑歷史相當驚人。 ,不過撇除欠債，高盟傑沾染吸毒惡習卻是事實，他去年5月間就因涉嫌吸食毒品，遭台中地院判刑3月，得易科罰金，如今再面臨販毒起訴，如果罪名成立，就要面對無期徒刑或7年以上有期徒刑，得併科1,000萬元以下罰金的處分，不要說演藝生命已完結，人生也毀於一旦。,★鏡週刊關心您：珍惜生命拒絕毒品，健康無價不容毒噬。,相關關鍵字："
https://www.mirrormedia.mg/story/20190422fin005/,【員工通緝老闆5】董座徐豪雄落跑　衰爆總經理無奈一肩扛,"
    全文朗讀
  ,
    00:00,西門町最大的連鎖旅館愛克發驚傳跳票，董事長徐豪雄也人失去聯絡，總經理呂自修為照顧員工，並讓公司繼續經營下去，只好接下燙手山芋。 ,西門町連鎖旅館霸主愛客發旅館驚傳跳票、董座落跑，總經理呂自修只得接下燙手山芋，接受記者約訪的他臨時以重感冒為由，指派主管出面回答相關問題，「跳票的這些借款都是董事長做的，我們沒有其他股東，他是唯一的自然人股東，所有的財務狀況都在他的腦海中，去年的財報會計師尚未繳交，財務狀況公司還在了解中。」愛客發主管表示。,「3月10日發薪水的時候，銀行忽然凍結存款，導致員工薪水（約1,400萬元）發不出來，總經理為了照顧員工，才決定留下來繼續經營，負責收尾。」愛客發主管說。,愛客發集團旗下有9個旅館品牌、2,000 間客房規模，光是在西門町和台北車站附近已擁有1,670個房間（不含青年旅館），台南地區也有230間房，員工數達500多人。呂自修曾說，「我們每年要貢獻華南金控1億元的租金！」,
        更新時間｜,相關關鍵字："
https://www.mirrormedia.mg/story/20190307inv004/,朱立倫前愛將許志堅收賄615萬　判10年定讞,"
    全文朗讀
  ,
    00:00,曾是新北市前市長朱立倫副手的新北市前副市長許志堅貪汙案，利用安排兒子、哥哥至建商公司坐領乾薪及嫁女兒收黃金及名錶等方式，向建設公司收賄逾615萬元，部分賄款還交給父親當孝親費，最高法院認定許志堅貪汙罪證明確，今（7日）依貪汙治罪條例判他10年定讞，許志堅2016年已獲300萬元交保停押，檢方已啟動防逃機制。,本案是由廉政署查出，許志堅在新北市副市長任內，許志堅自2010年12月25日至2014年6月29日退休止，任職新北市政府副市長，負責主持都更政務，周麗惠為弘盛開發公司的實際負責人；許士耘及許志遠則分別是許志堅的長子及兄長，廉政署查出許志堅替都更案護航，並利用親人收賄。,全案是2008年間，寶興開發公司辦理新店廣明段都更案一直未獲准，寶興公司股東郭兆祥找上周麗惠向許志堅求助，許志堅2011年4月間，主動開口向周麗惠索賄，要求每月支付11萬元，為期5年，周麗惠即安排許志堅的兒子許士耘、哥哥許志遠到公司領乾薪每月各4萬元，2人共各自領了197萬餘元，並另付許志堅3萬元，許志堅則將這3萬元交給父親許昭英當孝親費用。,後來周麗惠即利用與許志堅聚餐機會，請託許志堅協助都更案，許志堅同意後，周麗惠2011年12月9日，以贈送生日禮物為名，送許志堅價值21萬6,750元之蕭邦錶1只。許志堅2013年7月31日，批示核可都更案計畫，並自同年8月9日起發布實施。,2014年4月間，許志堅以其女兒許儀彬結婚需禮為由，再度主動開口向周麗惠索賄，周麗惠就將各5兩重，共價值47萬3,500元的黃金金條2條，交給許志堅，另將價值19萬2,100元的蕭邦錶1只，及價值18萬2,000元的香奈兒錶1只，交給許儀彬，最高法院認定罪證明確，判許志堅10年確定。,
        更新時間｜,相關關鍵字："
https://www.mirrormedia.mg/story/201190311soc001/,【弒兄頂身分1】焚屍詐死避入監　黑二代冷血設局弒兄,"
    全文朗讀
  ,
    00:00,前年6月，台中市發生駭人聽聞的「弒兄斷掌焚屍案」，凶嫌林宗耀殺害親兄弟，只為冒用哥哥的身分活下去，躲避牢獄之災；警方查出，弟弟林宗耀故佈疑陣，還在卡拉OK設下不在場證明，然後將哥哥誘騙到重劃區，持鐵鎚敲昏後，用菜刀亂砍，導致哥哥失血過多致死，且為了掩蓋身分，刻意斷掌、焚屍，本刊調查，這對兄弟出身台中知名黑道世家，其父是大湖仔幫老大林金銘。,警方指出，林宗耀（49歲）因為即將面臨入監服刑，竟然想弒兄頂替，用哥哥的身分活下去。2017年6月1日，他決定行凶，為了製造不在場證明，故意找了幾個朋友，開著銀色保時捷，到台中市西屯區寧夏路「最英雄卡拉OK」唱歌喝酒。,由於該大樓整棟都是卡拉OK，有十幾家，他可以藉口其他樓層有朋友邀約，暫時離席，其實這段時間是在行凶，而且，林宗耀還將包包、手機都放置該大樓，製造通聯紀錄等不在場證明。,當晚12點多，他變裝後，在一樓與哥哥會合，2人一起搭計程車離開，到河南、甘肅路口，轉搭他預先停放的白色自小客車。警方懷疑，他可能途中先迷昏林正賢，再將車子開到人煙罕至的重劃區、僑大三街與經貿九路口一帶，然後持尖銳、可以撬開釘子的「板模鎚」與鈍面的大鎚，用力的朝哥哥頭部猛力毆擊，等他倒地後，再持菜刀亂砍他的頭部、頸部，最後，林正賢因為動脈被割斷，失血過多致死。,殺害胞兄後，林宗耀為了怕死者身分被認出，先砍斷哥哥2隻手掌，避免指紋被採驗，然後在屍體附近丟了10幾顆骰子，製造賭債糾紛引起仇殺的假象；接著，他將屍體翻向臉朝天，以分次、局部方式焚屍；六分局偵察隊長陳春安說，他想將哥哥屍體燒得讓人認不出來，所以臉部是一定要焚燬的，但又不能燒得連他預先放在哥哥屍體口袋裡的「林宗耀」證件以及名片都燒成灰，這樣就無法讓哥哥當他的替死鬼。,幹完了這起令人髮指的弒兄案件，林宗耀駕著白色作案車輛，逆向行駛避開監視器，途中又換裝、轉搭計程車、步行等方式製造「斷點」，然後回到卡拉OK，跟朋友繼續喝酒；到了凌晨3點多，才開著停在卡拉OK附近的銀色保時捷離去，又轉搭計程車，然後開著白色作案車輛去丟棄凶器、作案衣物；陳春安說，整個作案過程，林宗耀至少動用了自己2部車子，轉搭5部計程車，換裝5次，都是為了製造不在場證明。,凌晨3點多，一名保全員發現燒得面目難以辨識的焦屍，立刻報案，警方漏夜調閱路口監視器，很幸運的，在遠處一支民間自設的監視器中，找到白色作案車輛開過去，過沒多久焚屍的火焰轟然一亮的畫面，但那時候，警方還不確定「林宗耀」是否活著。,
        更新時間｜,相關關鍵字："
https://www.mirrormedia.mg/story/20200318ent030/,陳柏霖小7歲女友庭萱　風評差被扒出黑歷史,"
    全文朗讀
  ,
    00:00,陳柏霖演出《我可能不會愛你》後爆紅，劇中「李大仁」溫柔專情形象深植人心，擄獲不少女粉絲的心。本刊拍到飾演帥氣「李大仁」的陳柏霖私下也是個專情男人，和傳了近8年的緋聞對象陳庭萱疑似同居，2人似乎好事近了。消息曝光後，今（18日）網路上又開始討論「Popu Lady」的陳庭萱，有網友認為女的沒有男的專情，曾被抓包與另二男約會。,陳柏霖和陳庭萱的戀情傳了8年，一開始雙方都不承認，只以「好朋友」回應。直到2019年，陳柏霖才終於鬆口認愛，還用「感覺挺好的」形容2人戀情，近日2人又被拍疑似早已同居，似乎好消息指日可待。,日前陳柏霖和陳庭萱出現在男方家門口，陳柏霖一發現鏡頭，為了不想被拍到和陳庭萱的同框照，使出調虎離山之計，立刻踩著滑板車一溜煙地從鏡頭前飛過，返回家門；陳庭萱則趁機從後方竄逃，鬼鬼祟祟地在陳柏霖家附近，跟記者大玩躲貓貓。最後她以跑百米姿態衝進陳柏霖家門口，直到隔天下午3點，陳庭萱才踏出門口，足見2人的關係。,然而，就在大家準備祝福這一對戀人的時候，網友們卻扒出陳庭萱的「黑歷史」。就在2人祕密交往近1年時，陳庭萱就曾被爆與一位削瘦男晚餐約會，隔半年後，又與球帽男逛街約會被抓包，1年約會3男，讓大家搞不清楚她的正牌男友是誰。,陳柏霖談戀愛一向低調，最早是和嫩模Gina交往，2人從17歲就在一起，但交往的6年間，女方屢傳出軌，和其他男子曖昧不清。陳柏霖無奈之下忍痛斬斷情絲；與Gina分手後，陳柏霖很快就和混血嫩模Mandy交往，2人談了3年情，一度論及婚嫁，陳柏霖為了保護這段感情，不惜停掉一半的工作，以半息影狀態陪伴女友，可惜最後仍以分手收場。,2012年，陳柏霖和小7歲的陳庭萱因合拍電影《變身》而擦出火花，2人一直以「好朋友」稱呼對方， 直到林志玲結婚時，陳柏霖才終於鬆口認愛陳庭萱，並用「感覺挺好的」來形容2人的感情，讓這段戀情出現曙光。,相關關鍵字："
https://www.mirrormedia.mg/story/20170322bus010/,不給吹冷氣　他火大帶走台大基因研究團隊,"
    全文朗讀
  ,
    00:00,「讀建中時，我一樣玩，成績普普，從來沒有補過習，直到大學沒有如期考上台大醫學系，我才面臨到人生第一個重大挫折。」進入重考班補習，每天苦讀到半夜，一年過後，才順利考上台大。,「我常說我的上半場人生很單調，甚至枯燥無味，役畢後直接進台大婦產部當住院醫師，包含求學期間，我一路在台大待了24年，原以為我會老死在台大。」蘇怡寧說。,事實上，蘇怡寧並不如他口中平凡，他不僅是台大醫學院臨床醫學研究所博士，甚至一手創建「台大基因醫學部分子遺傳實驗室」，是國內母胎兒醫學、基因遺傳醫學與臨床醫學權威，他主導的醫療團隊，完成亞州首例救命寶寶之胚胎著床前基因診斷，因技術先進，被《Discovery》頻道指名拍攝全記錄。,2001年，國內的醫療環境發達，各醫院可以為了追逐研究，提計畫購買上千萬元機器設備，蘇怡寧的實驗室便是在此氛圍下催生。但10年過去，「醫院開始阻擋實驗室買機器做研究，我常去中國演講，看到對岸不惜大手筆購置昂貴設備，卻擺在那不會使用，對照兩地，我好不甘心。」,2011年底，台大醫院發布一則平日開到晚上10點、假日全天不開放空調的公文，「這對常常做研究到半夜的我們很苦悶。」屋漏偏逢連夜雨，「院長又質疑我們實驗室收取基因檢測費流程的正當性，封實驗室叫大家把帳冊拿出來對，我們幫你賺錢，你還把我們當賊，我氣得跑去跟院長陳明豐理論，說我不幹了！」針對此事，陳明豐回應：「時代已久遠，執行細節記不清楚，當時只做規範內應做的事。」,蘇怡寧出走，當時擔任助理的10人也跟著他走，他說：「很多人抱著看笑話的心態，看著十二年來累積的機器和設備，準備接收，我們一走，才發現實驗室都空了，因為助理是我寫計畫由國科會來支應的；儀器很多是我自掏腰包買的，我每個月都花二、三十萬支應研究室。」,「感激台大那幾年的對待，讓我可以茁壯很快，順利地無縫接軌。」他一邊激動地說，一邊又馬上轉換心情。在眾人看衰的情況下，靠著家族集資500萬元，蘇怡寧跳脫白色巨塔，2012年7月成立慧智基因；在病人的要求下，同年9月，再開禾馨婦產科診所。 ,「坊間有些基因檢測公司，都是長途運送血液至國外分析，再送報告回台，但是慧智不一樣，全部在台灣完成，可避免運送風險。」蘇怡寧也強調，一般檢測公司往往只給病人一張冷冰冰的紙，配上圖表，和病人距離很遠，「我們會進一步提供後續諮詢和醫療建議。」,蘇怡寧補充：「如果檢測出異常，我們會搭配臨床的經驗判讀，分析可能發生狀況、嚴重程度，幫助父母選擇應對，甚至推敲下一胎染病機率等。」依循此模式，慧智受到全台各醫療院所青睞，及合作受理美、日、星、澳洲、希臘的基因檢測，更透過實驗室簽約或技術移轉把生意做到中、港、東南亞等地。,
        更新時間｜,相關關鍵字："
https://www.mirrormedia.mg/story/20190218soc010/,領軍酒店妹詐財　前撞球女國手「剝皮鴛鴦」再遭逮,"
    全文朗讀
  ,
    00:00,「沒錢繳學費」、「父親車禍」、「母親生病住院」專鎖定心腸軟的剝皮吸金手法層出不窮，許多中年大叔常在這樣的輕聲細語下奉送大把鈔票。2年前因領軍「剝皮妹」集團鋃鐺入獄的花式撞球好手余依珊，其丈夫孫凱倫於近日「夫承妻缽」號召8名同夥在中山區重啟剝皮爐灶，吸收多名中國籍女子進行情感詐欺同樣遭逮。,38歲的孫凱倫跨境招攬一群以中國藉為主的酒店小姐組成詐騙集團，主打悲情牌的剝皮軍團先跟被害人電話聯繫之後，以家庭困苦、要還就業貸款，或說欠地下錢莊錢，需要有人來救助，誘使被害人匯錢。,中山分局偵查隊長吳坤財表示，孫凱倫以過去妻子余依珊的手法不斷行騙，因此致富坐擁保時捷及「綠水鬼、帆船師」等百萬名錶。台北市警局、台北市刑大、中山分局等單位日前一舉將孫男等8人逮捕，訊後依組織犯罪防制條例、洗錢防制條例、詐欺等罪嫌送辦。,警方調查發現，此詐欺集團是以2年前被逮的余依珊運作方式為依循，在犯罪鏈中享有「分紅」制度，成員可從詐騙款項得到9%的佣金，若與受害人發生關係，每次還可拿到8,000元的「獎金」，高額的分紅讓許多酒店女子前仆後繼加入。,過去余依珊曾是國內撞壇東森女子風雲賽一員，因成績不甚理想，轉至撞球場工作，偶爾在小型會員賽出賽，直到捲入詐騙案才又登上媒體版面，她曾向警方坦承「因為收入不穩定，才會轉作詐騙」，而孫凱倫也在婚後加入詐欺機房共同行騙。,中山分局強調「全國同步查緝詐欺提款車手專案」期間，孫凱倫所組的剝皮酒店詐欺案件占比最多，被害人有37位，詐騙金額高達2千萬，其中1位老翁被詐騙400萬，日前警方持票至其台北市北投區光明路住處執行搜索，當場查獲機房控台王姓犯嫌等4名，尤姓陸籍車手共7人。,
        更新時間｜,相關關鍵字："
https://www.mirrormedia.mg/story/20200618ent030/,二女兒Vivian被求婚成功　吳宗憲準女婿是朱立倫外甥,"本土綜藝天王吳宗憲日前才透露有了想退休離開演藝圈的念頭，今日就傳出他即將多了「岳父」身份。吳宗憲家有三千金，快出嫁的女兒不是感情穩定，大家熟悉的Sandy吳姍儒，而是二女兒「Vivian」吳則含。吳宗憲女婿來頭還不小，是前新北市長朱立倫的外甥Wilson。,據悉朱立倫外甥Wilson是在昨晚向Vivian求婚成功，正在彰化錄製《綜藝玩很大》的吳宗憲聽到本刊向他求證這項消息時，還感到有點驚訝，他向本刊表示「我也是剛剛接觸到這件事情，我回去跟女兒聊聊。」,儘管被女兒突如其來的婚訊搞得措手不及，但吳宗憲對於小倆口的婚事並無反對之意，「她有她的想法」，雖然吳則含還年輕（28歲），不過吳宗憲認為Vivian不像姐姐Sandy人在演藝圈，可以像正常人一般，時間、緣分到了就結婚，況且他對於未來女婿頗為滿意，「男生也是很不錯的孩子，緣分就是這樣，我也樂觀其成！」,至於會不會怕Sandy也突然來一招閃婚，吳宗憲老神在在表示「感情的事情很難預料，順其自然是最OK的！」,
        更新時間｜,相關關鍵字："
